encoder_layer,hidden_index,component,numel,base_l2,delta_l2,relative_l2,mean_abs_delta,max_abs_delta,cosine
2,3,attention.self.key.weight,589824,35.11032570532008,0.10560555289684981,0.0030078203712262334,0.0001093860023554975,0.0006649196147918701,0.9999954776577162
2,3,attention.self.value.weight,589824,25.27710507339052,0.11195570994543168,0.004429134967013634,0.00011557336582917999,0.0007051755674183369,0.9999901927401306
2,3,attention.output.dense.weight,589824,24.330968988610365,0.10794154218006763,0.004436384848897569,0.00011104617830279865,0.0007581813260912895,0.9999901605164399
2,3,intermediate.dense.weight,2359296,64.35239715567681,0.23697350466130596,0.0036824347675508693,0.00012163956195521772,0.000989958643913269,0.9999932209523145
2,3,output.dense.weight,2359296,60.01667298351958,0.2208940998490621,0.003680545569557297,0.0001125797446717856,0.0010587992146611214,0.9999932270049695
3,4,attention.self.query.weight,589824,34.60569254735753,0.11266732848059201,0.0032557455200877125,0.00011632461353237144,0.0007656440138816833,0.9999947026600052
3,4,attention.self.key.weight,589824,34.49878222855807,0.11184130725544013,0.0032418914532831816,0.00011566573745439636,0.0007969290018081665,0.9999947476155948
3,4,attention.self.value.weight,589824,27.33734432421473,0.1140472395892161,0.004171847793137533,0.0001181706922235297,0.000763734569773078,0.9999912990809786
3,4,attention.output.dense.weight,589824,25.779677505997252,0.1102437304681394,0.004276381286868032,0.00011309473655570178,0.000813707709312439,0.9999908572494303
3,4,intermediate.dense.weight,2359296,63.227474867912484,0.23677099700005136,0.003744748584293235,0.00012168469029907472,0.0008772502187639475,0.999992988797746
3,4,output.dense.weight,2359296,59.80064459008796,0.2206708853089135,0.0036901088077149254,0.00011285625017257545,0.0011539515107870102,0.9999931922085029
4,5,attention.self.query.weight,589824,34.98802879719883,0.115873215557974,0.0033117960497177513,0.00012004956584743434,0.0007715821266174316,0.999994517267886
4,5,attention.self.key.weight,589824,34.68613442531724,0.11643155929928586,0.003356717640300184,0.0001199531436201911,0.0008157296106219292,0.999994367470795
4,5,attention.self.value.weight,589824,30.44573086680902,0.1199725198351384,0.003940536699873699,0.0001237247153089983,0.0008041560649871826,0.9999922369275465
4,5,attention.output.dense.weight,589824,28.249121659183825,0.11617114249356389,0.004112380692579747,0.00011912711114850873,0.0008662668988108635,0.9999915450145442
4,5,intermediate.dense.weight,2359296,63.56146965414429,0.23858347284715528,0.00375358647534984,0.0001224420553015476,0.0010607652366161346,0.9999929562872484
4,5,output.dense.weight,2359296,59.77193409502354,0.21727451217982238,0.003635059087002375,0.0001101350668875237,0.001153022050857544,0.9999933938309702
5,6,attention.self.query.weight,589824,36.170268363256035,0.11919549275964365,0.0032953997344606295,0.00012175064596204231,0.000902421772480011,0.9999945707277645
5,6,attention.self.key.weight,589824,35.80842956850927,0.11668784534556065,0.003258669725303411,0.00011890127795364726,0.0009948499500751495,0.999994690873606
5,6,attention.self.value.weight,589824,28.970050570464533,0.12414837162828737,0.004285404035671888,0.0001280984606160559,0.0008747754618525505,0.9999908182587589
5,6,attention.output.dense.weight,589824,26.78525978242116,0.11704894509702668,0.004369901432647089,0.00011917806382679083,0.0009452048689126968,0.9999904525791479
5,6,intermediate.dense.weight,2359296,64.1335995295272,0.24737398409369424,0.0038571666943440918,0.0001265886335889881,0.0011240197345614433,0.9999925617595413
5,6,output.dense.weight,2359296,61.81175342810081,0.2180388721988938,0.003527466219713631,0.00011092672909408247,0.001040794886648655,0.9999937793428733
6,7,attention.self.query.weight,589824,37.800626188431295,0.11410052997254631,0.003018482535283139,0.00011725534396604276,0.0008595585823059082,0.9999954469276451
6,7,attention.self.key.weight,589824,36.96849875400801,0.11138200187017795,0.003012889503880713,0.00011460600900075069,0.00079888547770679,0.9999954637060012
6,7,attention.self.value.weight,589824,28.73404334651135,0.1198022805280385,0.0041693498921579345,0.00012227627029311227,0.00094638392329216,0.9999913090967691
6,7,attention.output.dense.weight,589824,26.4105127820482,0.11492211967003667,0.00435137782512696,0.00011700529815632498,0.000820893794298172,0.9999905335101524
6,7,intermediate.dense.weight,2359296,63.81338125247642,0.25857141994734417,0.004051993717811494,0.00013170890490269829,0.0011098645627498627,0.999991791097372
